ID_station,nom_station,adresse_station,latitude,longitude,nom_porteur,type_charge,nbre_pdc,type_connecteur,date_maj,observations,source
75120-35,Paris/Charonne/52,75020 Paris,48.8518536, 2.3982137,Autolib,,1,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92023-13,Clamart/Bourcillière/137,92140 Clamart,48.7813871, 2.2271271,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92032-08,Fontenay-aux-Roses/Lombard/20,92260 Fontenay-aux-Roses,48.78919, 2.293033,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92036-13,Gennevilliers/Louis Roche/125,92230 Gennevilliers,48.9269437, 2.3143339,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92040-13,Issy-les-Moulineaux/Ernest Renan/9,92130 Issy-les-Moulineaux,48.8295855, 2.2836035,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92040-22,Issy-les-Moulineaux/Égalité/57,92130 Issy-les-Moulineaux,48.8167, 2.260423,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92044-PG,Levallois-Perret/Pierre Brossolette/21,92300 Levallois-Perret,48.8953575, 2.2922568,Autolib,,0,,,Emplacement: Station - Station: Parking - Places tiers: 6,Autolib
92044-PJ,Levallois-Perret/Louise Michel/8,92300 Levallois-Perret,48.8873092, 2.2844274,Autolib,,0,,,Emplacement: Station - Station: Parking - Places tiers: 6,Autolib
92046-02,Malakoff/Gabriel Péri/120,92240 Malakoff,48.8192396, 2.3040697,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92048-09,Meudon/De Gaulle/19,92190 Meudon,48.787686, 2.2277686,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92050-04,Nanterre/Pablo Picasso/20,92000 Nanterre,48.89231, 2.214089,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92062-06,Puteaux/Francis de Pressensé/12,92800 Puteaux,48.8761876, 2.2361346,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92063-18,Rueil-Malmaison/Colmar/17,92500 Rueil-Malmaison,48.8871, 2.181057,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
93006-05,Bagnolet/République/58,93170 Bagnolet,48.8611263, 2.4181508,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 5,Autolib
94044-02,Limeil-Brévannes/Lavoisier/12,94450 Limeil-Brévannes,48.73963, 2.490184,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 4,Autolib
75120-38,Paris/Frédérique Loliée/5,75020 Paris,48.8495131, 2.4061582,Autolib,,1,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92004-03,Asnières-sur-Seine/Normandie/22,92600 Asnières-sur-Seine,48.9059332, 2.2852074,Autolib,,1,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92004-09,Asnières-sur-Seine/Henri Say/11,92600 Asnières-sur-Seine,48.9152642, 2.2767942,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92012-08,Boulogne-Billancourt/André Morizet/121,92100 Boulogne-Billancourt,48.840169, 2.229398,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92012-11,Boulogne-Billancourt/Jean Jaurès/61,92100 Boulogne-Billancourt,48.83975, 2.2400622,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92012-13,Boulogne-Billancourt/Gallieni/114,92100 Boulogne-Billancourt,48.836581, 2.239424,Autolib,,0,,,Emplacement: Espace - Station: Voirie - Places tiers: 6,Autolib
92019-04,Châtenay-Malabry/Division Leclerc/81,92290 Châtenay-Malabry,48.7622887, 2.2838864,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92019-07,Châtenay-Malabry/Cyrano de Bergerac/6,92290 Châtenay-Malabry,48.768495, 2.250599,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92022-03,Chaville/Pavé des Gardes/33,92370 Chaville,48.80551, 2.184925,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92023-12,Clamart/Porte de Trivaux/130,92140 Clamart,48.78468, 2.237137,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92063-12,Rueil-Malmaison/Paul Doumer/3,92500 Rueil-Malmaison,48.8839089, 2.1919207,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92073-09,Suresnes/Tuilerie/33,92150 Suresnes,48.8618708, 2.2133061,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 5,Autolib
92075-03,Vanves/Larmeroux/12,92170 Vanves,48.8169686, 2.2810709,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
92075-06,Vanves/Antoine Fratacci/34,92170 Vanves,48.82101, 2.28876,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
93006-06,Bagnolet/Stalingrad/49,93170 Bagnolet,48.87215, 2.43015,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
93006-07,Bagnolet/Edouard Vaillant/60,93170 Bagnolet,48.85764, 2.415732,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 4,Autolib
93029-14,Drancy/Roger Salengro/3,93700 Drancy,48.9216032, 2.4411713,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
93055-12,Pantin/Jean Jaurès/150,93500 Pantin,48.90915, 2.398654,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
93055-14,Pantin/Anatole France/1,93500 Pantin,48.8946957, 2.4254593,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
93064-03,Rosny-sous-Bois/Rome/8,93110 Rosny-sous-Bois,48.876218, 2.475338,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
93064-06,Rosny-sous-Bois/Variot/40,93110 Rosny-sous-Bois,48.8798646, 2.4931178,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 7,Autolib
93070-09,Saint-Ouen/Édouard Vaillant/28,93400 Saint-Ouen,48.9018633, 2.3341342,Autolib,,0,,,Emplacement: Station - Station: Voirie - Places tiers: 5,Autolib
93070-11,Saint-Ouen/Michelet/42,93400 Saint-Ouen,48.9102315, 2.3441112,Autolib,,1,,,Emplacement: Station - Station: Voirie - Places tiers: 6,Autolib
